egfr,iressa,lung,month,tar,"Evergreen,_Edmonton",Donkey_Punch_(pornographic_film)
316,171,4354,200804,192,,0.0
311,201,3894,200804,188,,0.0
302,129,3257,200804,163,,0.0
171,76,2231,200804,95,,0.0
181,81,2569,200804,97,,0.0
312,147,4018,200804,189,,0.0
334,137,4249,200804,159,,0.0
330,162,4306,200804,178,,0.0
350,149,4080,200804,155,,0.0
313,119,3450,200804,145,,0.0
169,89,2184,200804,106,,0.0
199,75,2585,200804,91,,0.0
335,173,3817,200804,189,,0.0
337,147,4123,200804,176,,0.0
342,142,3909,200804,200,,0.0
323,142,4134,200804,171,,0.0
282,141,3078,200804,122,,0.0
152,88,2018,200804,100,,0.0
213,105,2375,200804,85,,0.0
342,148,3988,200804,187,,0.0
374,149,4049,200804,179,,0.0
368,177,3770,200804,241,,0.0
372,144,3666,200804,216,,0.0
293,128,3206,200804,151,,0.0
201,96,2013,200804,122,,0.0
197,113,4701,200804,94,,0.0
362,172,4176,200804,199,,0.0
324,137,4394,200804,168,,0.0
318,149,4289,200804,160,,0.0
0,0,0,200804,0,,0.0
286,128,3772,200805,169,0.0,0.0
268,133,3546,200805,132,1.0,0.0
185,79,2118,200805,82,2.0,0.0
164,100,2481,200805,91,0.0,0.0
341,142,3912,200805,183,2.0,0.0
375,204,4340,200805,190,4.0,0.0
386,140,4256,200805,191,0.0,0.0
312,157,4167,200805,173,3.0,0.0
357,125,3829,200805,152,1.0,0.0
182,79,2208,200805,120,0.0,0.0
174,68,2473,200805,98,1.0,0.0
283,131,4159,200805,135,1.0,0.0
305,166,4150,200805,180,1.0,0.0
327,181,4255,200805,177,0.0,0.0
344,148,4221,200805,155,3.0,0.0
289,126,3418,200805,174,2.0,0.0
175,104,2285,200805,120,3.0,0.0
219,90,2498,200805,119,0.0,0.0
335,162,3827,200805,136,0.0,0.0
334,157,4437,200805,199,0.0,0.0
298,175,4301,200805,199,2.0,0.0
263,196,3840,200805,172,0.0,0.0
286,94,3358,200805,129,0.0,0.0
124,95,2120,200805,65,2.0,0.0
161,82,2258,200805,73,1.0,0.0
239,127,2946,200805,127,0.0,0.0
335,192,4017,200805,186,2.0,0.0
273,188,4207,200805,183,3.0,0.0
298,181,4107,200805,168,0.0,0.0
224,141,3390,200805,160,2.0,0.0
143,99,2391,200805,92,2.0,0.0
0,0,0,200806,0,0.0,0.0
0,0,0,200806,0,0.0,0.0
339,182,4016,200806,240,1.0,0.0
305,171,3980,200806,216,0.0,0.0
344,148,3679,200806,208,4.0,0.0
309,158,3732,200806,173,2.0,0.0
271,103,3188,200806,148,0.0,0.0
177,64,2251,200806,90,0.0,0.0
144,61,2371,200806,105,1.0,0.0
306,170,3501,200806,187,0.0,0.0
283,146,3953,200806,166,5.0,0.0
304,171,3987,200806,166,0.0,0.0
309,154,3665,200806,167,1.0,0.0
350,175,2987,200806,158,2.0,0.0
144,77,2056,200806,97,1.0,0.0
158,77,2210,200806,68,3.0,0.0
301,174,3377,200806,180,2.0,0.0
351,151,3602,200806,197,2.0,0.0
263,182,3664,200806,186,2.0,0.0
253,166,3278,200806,237,2.0,0.0
251,142,2986,200806,178,4.0,0.0
114,77,2207,200806,88,2.0,0.0
137,90,2477,200806,89,4.0,0.0
270,164,3579,200806,235,1.0,0.0
279,115,3614,200806,188,0.0,0.0
266,195,3522,200806,234,1.0,0.0
254,156,3579,200806,192,2.0,0.0
240,144,2836,200806,188,3.0,0.0
133,91,2069,200806,91,4.0,0.0
166,63,2173,200806,89,2.0,0.0
258,174,4302,200806,220,1.0,0.0
297,169,3200,200807,258,0.0,0.0
215,152,3135,200807,214,4.0,0.0
159,121,2494,200807,154,3.0,0.0
113,85,1772,200807,87,2.0,0.0
111,59,1901,200807,85,2.0,0.0
294,156,2860,200807,223,2.0,0.0
309,162,2931,200807,210,2.0,0.0
240,149,2918,200807,194,0.0,0.0
257,125,3623,200807,174,3.0,0.0
164,123,2588,200807,147,1.0,0.0
112,82,2015,200807,83,0.0,0.0
202,115,2679,200808,196,1.0,0.0
126,59,1813,200808,79,0.0,0.0
149,93,2055,200808,100,6.0,0.0
267,116,2956,200808,190,0.0,0.0
253,152,2981,200808,218,0.0,0.0
236,165,3132,200808,212,0.0,0.0
199,168,2960,200808,186,0.0,0.0
208,101,2393,200808,135,1.0,0.0
94,48,1825,200808,62,2.0,0.0
125,52,1989,200808,95,1.0,0.0
211,94,2897,200808,174,0.0,0.0
254,128,2918,200808,199,3.0,0.0
225,143,2635,200808,158,2.0,0.0
202,144,2686,200808,162,0.0,0.0
204,97,2350,200808,125,2.0,0.0
138,61,1848,200808,77,1.0,0.0
85,74,1779,200808,68,9.0,0.0
211,158,2776,200808,193,0.0,0.0
252,164,2939,200808,252,0.0,0.0
238,131,2820,200808,186,0.0,0.0
225,113,3021,200808,173,0.0,0.0
206,122,2662,200808,162,1.0,0.0
115,65,1853,200808,71,3.0,0.0
132,68,1877,200808,72,2.0,0.0
239,99,3018,200808,202,2.0,0.0
279,157,3059,200808,203,0.0,0.0
284,144,3352,200808,203,0.0,0.0
229,114,3196,200808,158,1.0,0.0
224,103,2768,200808,135,0.0,0.0
81,79,1807,200808,73,0.0,0.0
101,62,2097,200808,94,2.0,0.0
191,143,2728,200809,134,1.0,
254,143,2976,200809,185,0.0,
280,124,3354,200809,180,0.0,
276,154,3430,200809,205,0.0,
242,108,2780,200809,169,2.0,
112,76,2272,200809,78,1.0,
155,80,2137,200809,87,2.0,
275,154,3244,200809,165,0.0,
306,177,3625,200809,180,0.0,
276,141,3357,200809,162,1.0,
367,246,3496,200809,211,2.0,
262,98,3165,200809,149,1.0,
109,71,2101,200809,82,0.0,
144,88,2421,200809,104,1.0,
278,127,3367,200809,170,0.0,
330,181,3577,200809,168,2.0,
294,157,3884,200809,183,1.0,
316,170,3641,200809,187,1.0,
273,144,3341,200809,177,0.0,
160,83,2048,200809,104,1.0,
160,98,2513,200809,88,1.0,
317,149,4384,200809,196,0.0,
291,195,3914,200809,225,0.0,
330,157,3694,200809,208,1.0,
357,200,3785,200809,206,0.0,
266,133,3207,200809,197,3.0,
123,71,4817,200809,82,1.0,
152,70,3247,200809,53,0.0,
321,132,4151,200809,91,4.0,
303,140,3521,200809,80,1.0,
0,0,0,200809,0,0.0,
363,152,4266,200810,114,,0.0
316,147,4014,200810,102,,0.0
286,136,3515,200810,76,,0.0
198,63,2314,200810,37,,0.0
188,80,2573,200810,52,,0.0
378,269,4116,200810,100,,0.0
396,246,4337,200810,98,,0.0
403,270,4223,200810,85,,0.0
382,162,4326,200810,63,,0.0
274,129,3618,200810,66,,0.0
157,91,2280,200810,43,,0.0
208,103,2675,200810,49,,0.0
346,169,4096,200810,76,,0.0
405,172,4854,200810,80,,0.0
347,155,4851,200810,93,,0.0
375,149,4536,200810,78,,0.0
290,117,3844,200810,84,,0.0
158,81,2465,200810,67,,0.0
236,104,2929,200810,39,,0.0
370,175,4578,200810,74,,0.0
0,0,0,200810,0,,0.0
0,0,0,200810,0,,0.0
419,217,4438,200810,95,,0.0
367,134,3820,200810,115,,0.0
202,115,2389,200810,137,,0.0
254,100,2866,200810,131,,0.0
404,151,4686,200810,218,,0.0
443,164,4584,200810,253,,0.0
447,188,4604,200810,233,,0.0
443,135,4260,200810,222,,0.0
298,134,3392,200810,182,,0.0
164,69,2276,200811,81,1.0,0.0
216,99,2593,200811,107,1.0,0.0
387,201,4286,200811,192,5.0,0.0
346,153,4045,200811,199,2.0,0.0
377,127,3818,200811,151,7.0,0.0
352,138,4086,200811,213,1.0,0.0
365,176,3643,200811,195,1.0,0.0
221,114,2805,200811,151,2.0,0.0
235,59,3146,200811,145,1.0,0.0
339,150,4463,200811,233,1.0,0.0
380,139,4533,200811,211,2.0,0.0
370,211,4711,200811,246,3.0,0.0
401,152,4997,200811,231,3.0,0.0
341,157,4618,200811,209,1.0,0.0
189,80,3010,200811,105,1.0,0.0
220,110,3444,200811,124,1.0,0.0
409,188,5019,200811,233,1.0,0.0
418,174,4848,200811,231,1.0,0.0
416,205,4654,200811,246,1.0,0.0
364,208,4592,200811,189,2.0,0.0
322,360,3858,200811,215,5.0,0.0
158,274,2669,200811,111,0.0,0.0
250,180,2928,200811,115,1.0,0.0
374,243,4021,200811,156,0.0,0.0
331,175,4659,200811,195,3.0,0.0
340,138,3672,200811,192,4.0,0.0
264,146,2657,200811,131,2.0,0.0
234,136,2643,200811,114,2.0,0.0
140,98,2242,200811,118,0.0,0.0
210,64,2730,200811,108,0.0,0.0
0,0,0,200811,0,0.0,0.0
363,209,4335,200812,210,0.0,0.0
376,187,4437,200812,187,0.0,0.0
407,218,4588,200812,205,0.0,0.0
411,166,4418,200812,207,0.0,0.0
345,138,3831,200812,201,2.0,0.0
224,105,2342,200812,95,2.0,0.0
231,111,2433,200812,91,2.0,0.0
356,171,3262,200812,162,1.0,0.0
421,159,3975,200812,182,2.0,0.0
379,162,3950,200812,148,0.0,0.0
374,158,3603,200812,165,1.0,0.0
354,97,3207,200812,151,5.0,0.0
167,85,2068,200812,98,1.0,0.0
200,101,2365,200812,161,2.0,0.0
339,152,3454,200812,176,2.0,0.0
290,139,3382,200812,167,2.0,0.0
284,141,3459,200812,180,1.0,0.0
311,167,3268,200812,175,2.0,0.0
231,159,2814,200812,146,4.0,0.0
110,55,1761,200812,68,0.0,0.0
118,75,1772,200812,103,1.0,0.0
220,99,2458,200812,125,0.0,0.0
181,103,2089,200812,146,1.0,0.0
130,71,1590,200812,72,1.0,0.0
74,39,1172,200812,45,0.0,0.0
119,71,1644,200812,79,2.0,0.0
93,58,1630,200812,61,2.0,0.0
99,62,1718,200812,59,1.0,0.0
171,109,2161,200812,110,1.0,0.0
205,94,2235,200812,141,0.0,0.0
140,112,2060,200812,136,2.0,0.0
87,54,1519,200901,57,0.0,0.0
156,109,2096,200901,100,1.0,0.0
159,81,2167,200901,102,0.0,0.0
166,82,2105,200901,76,1.0,0.0
246,140,3473,200901,176,4.0,0.0
270,172,3455,200901,142,2.0,0.0
301,172,3640,200901,175,0.0,0.0
270,139,3816,200901,167,1.0,0.0
249,83,3580,200901,129,1.0,0.0
158,107,2634,200901,114,3.0,0.0
165,88,2872,200901,93,0.0,0.0
385,128,3865,200901,173,0.0,0.0
356,169,4218,200901,200,1.0,0.0
303,156,3981,200901,188,4.0,0.0
385,150,3889,200901,176,2.0,0.0
310,161,3705,200901,180,1.0,0.0
193,73,2534,200901,91,0.0,0.0
187,121,2755,200901,77,2.0,0.0
301,156,3550,200901,195,1.0,0.0
334,176,3820,200901,162,0.0,0.0
386,148,3774,200901,198,2.0,0.0
371,188,3797,200901,169,0.0,0.0
308,115,3426,200901,133,2.0,0.0
170,79,2369,200901,48,1.0,0.0
218,75,2451,200901,37,3.0,0.0
348,152,3630,200901,91,2.0,0.0
361,132,4560,200901,149,2.0,0.0
326,170,4164,200901,201,5.0,0.0
421,143,4177,200901,144,3.0,0.0
268,123,3690,200901,156,3.0,0.0
181,81,3254,200901,103,1.0,0.0
240,76,2813,200902,65,2.0,0.0
339,174,3748,200902,112,5.0,0.0
379,199,4193,200902,127,2.0,0.0
362,140,4483,200902,111,3.0,0.0
398,150,4403,200902,196,4.0,0.0
338,157,3703,200902,203,4.0,0.0
212,81,2833,200902,72,3.0,0.0
260,106,2988,200902,43,4.0,0.0
377,199,4285,200902,174,4.0,0.0
498,180,4265,200902,239,7.0,0.0
318,171,4471,200902,183,4.0,0.0
328,173,3996,200902,175,5.0,0.0
315,144,3459,200902,156,1.0,0.0
219,75,2257,200902,97,5.0,0.0
216,79,2668,200902,75,5.0,0.0
373,147,3580,200902,146,1.0,0.0
440,194,4170,200902,207,1.0,0.0
408,149,3937,200902,208,6.0,0.0
427,198,4323,200902,212,0.0,0.0
349,164,3801,200902,204,1.0,0.0
216,104,2623,200902,113,1.0,0.0
264,131,3067,200902,109,3.0,0.0
405,157,4599,200902,214,4.0,0.0
457,181,4507,200902,208,0.0,0.0
452,172,4708,200902,198,2.0,0.0
448,166,4604,200902,234,0.0,0.0
403,145,3940,200902,227,3.0,0.0
199,83,2558,200902,112,3.0,0.0
0,0,0,200902,0,0.0,0.0
0,0,0,200902,0,0.0,0.0
0,0,0,200902,0,0.0,0.0
250,96,3086,200903,103,,0.0
428,180,4287,200903,232,,0.0
465,144,4113,200903,258,,0.0
465,178,4629,200903,218,,0.0
439,175,4485,200903,185,,0.0
341,159,4181,200903,202,,0.0
208,89,2735,200903,122,,0.0
252,88,3097,200903,140,,0.0
449,166,4415,200903,180,,0.0
433,179,4593,200903,200,,0.0
460,182,4691,200903,213,,0.0
460,223,4644,200903,242,,0.0
345,185,3858,200903,241,,0.0
254,98,2830,200903,127,,0.0
274,121,3465,200903,132,,0.0
491,192,4876,200903,242,,0.0
443,161,4615,200903,225,,0.0
441,188,4644,200903,216,,0.0
440,188,4568,200903,193,,0.0
357,126,4010,200903,141,,0.0
178,93,2513,200903,62,,0.0
309,107,3265,200903,73,,0.0
420,200,4468,200903,251,,0.0
519,179,4375,200903,215,,0.0
493,199,4393,200903,222,,0.0
419,205,4082,200903,225,,0.0
380,169,3609,200903,210,,0.0
201,95,2589,200903,97,,0.0
270,95,2911,200903,88,,0.0
444,155,4363,200903,203,,0.0
407,183,4454,200903,249,,0.0
468,156,4471,200904,223,0.0,0.0
451,162,4138,200904,234,2.0,0.0
415,163,3914,200904,225,1.0,0.0
200,98,2574,200904,116,1.0,0.0
241,103,2577,200904,113,1.0,0.0
429,211,4566,200904,284,0.0,0.0
440,181,4538,200904,203,1.0,0.0
447,157,4350,200904,237,1.0,0.0
443,178,3680,200904,230,2.0,0.0
348,121,2919,200904,173,1.0,0.0
219,77,2301,200904,105,0.0,0.0
219,83,2234,200904,105,1.0,0.0
349,144,3458,200904,193,0.0,0.0
386,171,3964,200904,214,0.0,0.0
428,188,4030,200904,202,0.0,0.0
451,148,3833,200904,195,0.0,0.0
418,162,3369,200904,129,1.0,0.0
223,91,2441,200904,105,2.0,0.0
280,73,2834,200904,79,0.0,0.0
415,166,3881,200904,208,0.0,0.0
475,132,4269,200904,169,1.0,0.0
465,157,3825,200904,91,0.0,0.0
405,174,3865,200904,72,0.0,0.0
423,284,3711,200904,68,0.0,0.0
272,103,2294,200904,41,0.0,0.0
308,102,2805,200904,72,1.0,0.0
431,191,4116,200904,192,2.0,0.0
433,202,4066,200904,201,0.0,0.0
408,160,4379,200904,209,2.0,0.0
411,162,3925,200904,140,0.0,0.0
0,0,0,200904,0,0.0,0.0
359,154,3714,200905,94,2.0,
215,90,2360,200905,37,0.0,
254,79,2634,200905,45,0.0,
403,177,3905,200905,105,2.0,
496,161,3992,200905,172,0.0,
501,153,4131,200905,178,0.0,
474,142,4239,200905,190,1.0,
349,156,3486,200905,172,0.0,
219,88,2375,200905,107,1.0,
292,97,2562,200905,107,0.0,
408,174,3942,200905,110,1.0,
460,191,4246,200905,93,2.0,
556,207,4647,200905,143,0.0,
492,219,4648,200905,177,2.0,
434,194,4154,200905,159,1.0,
223,113,2613,200905,112,2.0,
262,174,2875,200905,129,1.0,
581,205,4366,200905,145,0.0,
455,209,4186,200905,125,0.0,
456,192,4051,200905,105,1.0,
420,179,3882,200905,86,0.0,
375,136,3660,200905,66,3.0,
254,95,2402,200905,40,0.0,
214,83,2426,200905,38,0.0,
338,131,3149,200905,65,1.0,
447,196,4191,200905,105,0.0,
450,197,4022,200905,76,0.0,
443,168,3837,200905,103,1.0,
347,167,3382,200905,103,0.0,
219,77,2453,200905,48,1.0,
246,104,2537,200905,43,0.0,
398,177,3764,200906,82,1.0,0.0
427,195,3590,200906,109,0.0,0.0
437,184,3419,200906,83,0.0,0.0
450,168,3308,200906,103,0.0,0.0
370,176,3020,200906,113,0.0,0.0
203,103,2039,200906,49,2.0,0.0
184,107,2291,200906,79,0.0,0.0
427,184,3395,200906,296,1.0,0.0
420,203,3724,200906,214,1.0,0.0
467,183,3596,200906,167,0.0,0.0
406,156,3322,200906,92,1.0,0.0
356,136,2756,200906,69,0.0,0.0
176,63,1951,200906,68,0.0,0.0
211,72,2298,200906,73,0.0,0.0
407,183,3384,200906,244,3.0,0.0
456,207,3362,200906,252,0.0,0.0
504,194,3277,200906,281,0.0,0.0
387,174,3127,200906,239,0.0,0.0
292,176,2482,200906,214,1.0,0.0
183,88,1856,200906,118,0.0,0.0
184,79,2172,200906,108,1.0,0.0
425,159,3217,200906,272,2.0,0.0
439,161,3127,200906,264,1.0,0.0
397,162,3153,200906,199,1.0,0.0
345,153,3211,200906,74,0.0,0.0
359,136,2951,200906,81,0.0,0.0
184,70,2049,200906,39,0.0,0.0
201,89,2140,200906,56,1.0,0.0
391,180,3056,200906,84,0.0,0.0
385,167,3136,200906,101,0.0,0.0
0,0,0,200906,0,0.0,0.0
358,150,3145,200907,131,0.0,0.0
360,189,2804,200907,218,2.0,0.0
231,120,2406,200907,138,0.0,0.0
140,66,1820,200907,94,1.0,0.0
150,67,1921,200907,106,0.0,0.0
352,144,3033,200907,192,0.0,0.0
385,184,3034,200907,222,1.0,0.0
402,177,3048,200907,219,1.0,0.0
378,186,2935,200907,185,0.0,0.0
299,140,2617,200907,198,0.0,0.0
194,73,1971,200907,103,0.0,0.0
173,78,1982,200907,103,1.0,0.0
408,191,3123,200907,267,1.0,0.0
360,194,3132,200907,285,0.0,0.0
353,171,3234,200907,234,1.0,0.0
385,154,2970,200907,194,2.0,0.0
270,183,2443,200907,187,0.0,0.0
162,88,2126,200907,73,0.0,0.0
157,79,2147,200907,100,0.0,0.0
402,197,3172,200907,189,1.0,0.0
371,201,3362,200907,209,0.0,0.0
358,197,3115,200907,236,1.0,0.0
344,193,3226,200907,277,0.0,0.0
326,181,2722,200907,191,1.0,0.0
176,81,1992,200907,101,0.0,0.0
170,68,2097,200907,105,0.0,0.0
307,161,2966,200907,192,0.0,0.0
356,172,3022,200907,201,2.0,0.0
413,170,3038,200907,200,0.0,0.0
330,140,3037,200907,211,0.0,0.0
295,130,2828,200907,179,0.0,0.0
181,67,2045,200908,102,1.0,0.0
177,103,2264,200908,139,0.0,0.0
319,145,3035,200908,239,1.0,0.0
396,142,2883,200908,231,0.0,0.0
380,199,3227,200908,221,0.0,0.0
395,168,2892,200908,253,1.0,0.0
311,161,2566,200908,204,0.0,0.0
145,73,1801,200908,97,0.0,0.0
192,87,2149,200908,103,0.0,0.0
362,188,2874,200908,254,1.0,0.0
375,189,2917,200908,261,1.0,0.0
425,168,3247,200908,246,0.0,0.0
359,135,2921,200908,201,0.0,0.0
317,161,2682,200908,224,1.0,0.0
149,110,1873,200908,117,1.0,0.0
169,150,1966,200908,99,0.0,0.0
347,185,2926,200908,224,0.0,0.0
336,146,3078,200908,235,0.0,0.0
416,214,2982,200908,235,1.0,0.0
396,336,2743,200908,301,2.0,0.0
335,207,2733,200908,240,0.0,0.0
147,93,1942,200908,90,1.0,0.0
219,87,1946,200908,117,0.0,0.0
402,237,2999,200908,222,2.0,0.0
417,219,3231,200908,276,0.0,0.0
410,196,3353,200908,245,0.0,0.0
349,221,3589,200908,234,0.0,0.0
323,153,2760,200908,180,0.0,0.0
177,83,2603,200908,118,1.0,0.0
182,94,2539,200908,127,0.0,0.0
385,172,3503,200908,191,0.0,0.0
350,201,3411,200909,228,0.0,0.0
424,236,3315,200909,267,0.0,0.0
419,304,3561,200909,259,0.0,0.0
329,190,2925,200909,191,1.0,0.0
190,125,2180,200909,114,0.0,0.0
206,130,2224,200909,133,0.0,0.0
340,185,2810,200909,148,0.0,0.0
424,196,3327,200909,231,1.0,0.0
432,218,3346,200909,248,0.0,0.0
410,232,3317,200909,223,0.0,0.0
364,184,2797,200909,202,0.0,0.0
259,96,2255,200909,109,0.0,0.0
285,131,2467,200909,132,1.0,0.0
435,228,3380,200909,275,1.0,0.0
499,240,4767,200909,276,0.0,0.0
482,230,3736,200909,249,0.0,0.0
482,245,3401,200909,250,0.0,0.0
390,194,3152,200909,216,0.0,0.0
194,86,2141,200909,108,1.0,0.0
197,109,2331,200909,116,0.0,0.0
384,202,3382,200909,246,0.0,0.0
477,200,3564,200909,241,0.0,0.0
0,0,0,200909,0,0.0,0.0
463,225,3209,200909,268,0.0,0.0
0,0,0,200909,0,0.0,0.0
0,0,0,200909,0,0.0,0.0
0,0,0,200909,0,0.0,0.0
434,182,3453,200909,220,1.0,0.0
465,189,3742,200909,243,0.0,0.0
452,180,3407,200909,239,0.0,0.0
444,190,3382,200910,219,0.0,0.0
447,149,3057,200910,214,0.0,0.0
219,110,2349,200910,114,0.0,0.0
273,161,2665,200910,144,2.0,0.0
428,209,3592,200910,216,0.0,0.0
443,202,3491,200910,227,0.0,0.0
535,225,4163,200910,239,0.0,0.0
541,220,4266,200910,252,1.0,0.0
451,164,3335,200910,214,0.0,0.0
281,94,2876,200910,95,0.0,0.0
338,111,2688,200910,123,0.0,0.0
489,229,3687,200910,258,1.0,0.0
562,190,4111,200910,273,0.0,0.0
0,0,0,200910,0,0.0,0.0
0,0,0,200910,0,0.0,0.0
0,0,0,200910,0,0.0,0.0
230,113,2312,200910,137,0.0,0.0
278,141,2609,200910,152,1.0,0.0
487,237,3726,200910,248,0.0,0.0
497,218,3766,200910,225,0.0,0.0
523,204,4232,200910,239,0.0,0.0
511,204,4188,200910,291,0.0,0.0
459,168,3567,200910,268,0.0,0.0
329,130,2571,200910,182,1.0,0.0
328,162,2796,200910,180,0.0,0.0
508,232,4006,200910,304,0.0,0.0
534,190,4020,200910,244,0.0,0.0
541,207,4010,200910,307,0.0,0.0
567,180,3870,200910,277,0.0,0.0
548,172,3341,200910,245,0.0,0.0
241,97,2292,200910,126,0.0,0.0
225,110,2299,200911,126,0.0,0.0
445,149,3348,200911,219,0.0,0.0
499,244,3969,200911,289,0.0,0.0
590,222,4219,200911,261,4.0,0.0
587,224,4067,200911,280,0.0,0.0
516,200,3680,200911,211,1.0,0.0
239,104,2304,200911,112,2.0,0.0
354,106,3022,200911,129,0.0,0.0
482,211,4135,200911,266,1.0,0.0
529,224,4660,200911,269,0.0,0.0
519,250,4052,200911,271,0.0,0.0
509,287,3912,200911,280,0.0,0.0
454,195,3542,200911,261,0.0,0.0
300,122,2544,200911,175,1.0,0.0
0,0,0,200911,0,0.0,0.0
540,216,4099,200911,270,2.0,0.0
479,173,3648,200911,245,0.0,0.0
482,173,3595,200911,242,0.0,0.0
452,252,3592,200911,236,0.0,0.0
442,184,3420,200911,203,0.0,0.0
256,109,2361,200911,123,1.0,0.0
0,0,0,200911,0,0.0,0.0
411,172,3460,200911,188,1.0,0.0
391,213,3309,200911,221,0.0,0.0
378,178,3258,200911,213,0.0,0.0
334,135,2657,200911,176,1.0,0.0
305,157,2640,200911,144,0.0,0.0
241,112,2139,200911,109,0.0,0.0
251,128,2441,200911,124,1.0,0.0
440,194,3684,200911,194,1.0,0.0
0,0,0,200911,0,0.0,0.0
432,202,3486,200912,230,0.0,0.0
416,195,3442,200912,198,0.0,0.0
518,167,3695,200912,221,0.0,0.0
420,160,3499,200912,209,0.0,0.0
295,109,2344,200912,118,1.0,0.0
291,135,2357,200912,106,0.0,0.0
469,208,3415,200912,259,2.0,0.0
426,213,3615,200912,185,0.0,0.0
405,210,3685,200912,274,0.0,0.0
430,223,3497,200912,244,0.0,0.0
367,195,3257,200912,202,0.0,0.0
287,108,2425,200912,144,0.0,0.0
310,113,2217,200912,117,0.0,0.0
446,158,3073,200912,222,0.0,0.0
421,172,3084,200912,248,0.0,0.0
418,200,3402,200912,236,1.0,0.0
462,215,3444,200912,268,0.0,0.0
442,163,2850,200912,196,1.0,0.0
202,106,2129,200912,106,1.0,0.0
202,91,1915,200912,133,0.0,0.0
331,188,2611,200912,216,0.0,0.0
292,152,2694,200912,239,0.0,0.0
287,125,2305,200912,176,0.0,0.0
153,100,1686,200912,134,0.0,0.0
124,81,1311,200912,113,0.0,0.0
138,80,1506,200912,99,1.0,0.0
155,68,1740,200912,108,0.0,0.0
237,114,2372,200912,147,1.0,0.0
