path_,tot_lines
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/ioctls.h","85","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/sections.h","6","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/statfs.h","6","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/segment.h","49","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/errno.h","6","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/thread_info.h","108","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/irq.h","49","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/kmap_types.h","6","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/smp.h","1","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/ftrace.h","1","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/bitops.h","213","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/posix_types.h","60","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/elf.h","104","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/delay.h","38","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/timer.h","25","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/local.h","6","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/regs306x.h","212","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/auxvec.h","4","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/ioctl.h","1","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/cputime.h","6","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/fpu.h","1","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/processor.h","140","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/spinlock.h","6","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/shmbuf.h","42","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/topology.h","6","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/fcntl.h","11","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/mc146818rtc.h","9","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/tlb.h","23","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/tlbflush.h","55","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/byteorder.h","6","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/timex.h","19","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/gpio.h","52","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/cache.h","12","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/termios.h","92","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/pgalloc.h","8","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/sembuf.h","25","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/dma.h","15","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/stat.h","78","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/shmparam.h","6","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/setup.h","6","h"
"/home/dcuneo/git/PersonalDS/DataScience/command_line_pres_data/linux-2.6.32.67/arch/h8300/include/asm/div64.h","1","h"
